Event	ID	Name			Wwise Object Path	Notes
	1281810935	start			\Default Work Unit\start	
	1333414505	Jublen			\Default Work Unit\Jublen	
	1355334996	bvadr			\Default Work Unit\bvadr	
	1866025847	footstep			\Default Work Unit\footstep	
	2275356394	ymer			\Default Work Unit\ymer	
	2465565761	pigeSangStop			\Default Work Unit\pigeSangStop	
	3011307715	pigeSangStart			\Default Work Unit\pigeSangStart	
	3092587493	pause			\Default Work Unit\pause	
	3354233250	pigeSangCue			\Default Work Unit\pigeSangCue	
	4172093234	ymerStop			\Default Work Unit\ymerStop	

Switch Group	ID	Name			Wwise Object Path	Notes
	1590382670	switch1			\Default Work Unit\switch1	

Switch	ID	Name	Switch Group			Notes
	1914034948	New_Switch	switch1			
	3952450474	New_Switch_01	switch1			

State Group	ID	Name			Wwise Object Path	Notes
	2012657067	New_State_Group			\Default Work Unit\New_State_Group	

State	ID	Name	State Group			Notes
	748895195	None	New_State_Group			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2669789846	footstepVelocity			\Default Work Unit\footstepVelocity	
	3150423734	ambiensHiPass			\Default Work Unit\ambiensHiPass	

Audio Bus	ID	Name			Wwise Object Path	Notes
	805203703	Master Secondary Bus			\Default Work Unit\Master Secondary Bus	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	695384145	rvb			\Default Work Unit\Master Audio Bus\rvb	

Effect plug-ins	ID	Name	Type				Notes
	1904434771	Medium_Room1	Wwise Matrix Reverb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	24393306	pige rømmen3	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige rømmen3_ABB1111A.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\rømmen\pige rømmen3		135980
	41533393	pige rømmen5	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige rømmen5_D34B0CDD.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\rømmen\pige rømmen5		122744
	74475403	pige sang2_01	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige sang2_3918DC77.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\sang\pige sang2_01		2083840
	128134872	pige tudse i halsen6	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige tudse i halsen6_2C99C9DF.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\tudseIHalsen\pige tudse i halsen6		222328
	140437786	ymer plask3	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymer plask3_128992D9.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerPlasj\ymer plask3		421248
	143273572	ymerskvulp9	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymerskvulp9_C9CA9B92.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerSkvulp2\ymerskvulp9		132484
	145305433	dreng ymer ad8	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng ymer ad8_5DDFC3FF.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\ymerAd\dreng ymer ad8		45108
	186002934	dreng ymer ad2	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng ymer ad2_E09B8CC5.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\ymerAd\dreng ymer ad2		94628
	193980638	ymer plask dråbe3	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymer plask dråbe3_B9ABC57C.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerdråbe\ymer plask dråbe3		35832
	196018585	dreng startlyd2	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng startlyd2_2724E57D.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\startLyd\dreng startlyd2		214620
	211347025	dreng startlyd3	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng startlyd3_9AD33426.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\startLyd\dreng startlyd3		166496
	212920129	footstep_4	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\footstep_4_FDA8CC6E.wem		\Actor-Mixer Hierarchy\Default Work Unit\footsteps\footstepSurface\footsteps\footstepsBlend2\footstep_4		27224
	219312287	ymerskvulp2	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymerskvulp2_0331A6D1.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerSkvulp1\ymerskvulp2		162240
	223363171	supermarked_1	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\supermarked_1_4B8CC0C5.wem		\Actor-Mixer Hierarchy\Default Work Unit\ambiens\supermarked_1		16512064
	259437615	dreng ymer ad5	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng ymer ad5_95912901.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\ymerAd\dreng ymer ad5		175712
	260247963	pige jublen4	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige jublen4_871EE622.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\jublen\pige jublen4		168972
	275075370	ymer plask dråbe2	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymer plask dråbe2_A15D8E3D.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerdråbe\ymer plask dråbe2		60328
	288818242	ymer plask dråbe4	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymer plask dråbe4_70AF3583.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerdråbe\ymer plask dråbe4		41180
	325491423	ymerskvulp5	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymerskvulp5_E180920F.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerSkvulp1\ymerskvulp5		105456
	331865315	ymerskvulp1	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymerskvulp1_FA05EDF7.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymerSkvulp1\ymerskvulp1		237376
	334962905	ymerskvulp13 anderledes støj anderledes resonans	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymerskvulp13 anderledes støj anderledes resonans_17F7E663.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymer anden resonans\ymerskvulp13 anderledes støj anderledes resonans		124844
	351530559	dreng ymer ad1	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng ymer ad1_D6277B14.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\ymerAd\dreng ymer ad1		160744
	360259078	pige rømmen1	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige rømmen1_86301E3A.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\rømmen\pige rømmen1		264980
	375048996	pige sang2	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige sang2_4116A18D.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\sang\pige sang2		1389248
	400730508	dreng jublen2	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\dreng jublen2_3214C04C.wem		\Actor-Mixer Hierarchy\Default Work Unit\dreng\jublen\dreng jublen2		174072
	402368179	ymerskvulp14 anderledes støj anderledes resonans	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\ymerskvulp14 anderledes støj anderledes resonans_93BCD7AC.wem		\Actor-Mixer Hierarchy\Default Work Unit\ymer\ymermix\ymer anden resonans\ymerskvulp14 anderledes støj anderledes resonans		93332
	407101066	pige tudse i halsen5	Y:\Documents\WwiseProjects\gruppe 4 minigame 1\.cache\Mac\SFX\pige tudse i halsen5_5AD5676E.wem		\Actor-Mixer Hierarchy\Default Work Unit\pige\tudseIHalsen\pige tudse i halsen5		96216
